DOMINIO;TIPO;MARCA;MODELO;AÑO;TIPIFICADA;RTO NRO;VENCIMIENTO RTO;POLIZA NRO;VENCIMIENTO POLIZA;EMPRESA;IDENTIFICACION DEL VEHICULO
AF301ZV;BATEA;STOESSEL;SSBL;2022;52,5T;979014;9/3/2027;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AF472BE;BATEA;STOESSEL;SSBL;2022;52,5T;274847;3/6/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AF472BG;TRACTOR;VOLVO;420 6X2T;2022;55,5T;274951;10/6/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AF472BO;TRACTOR;VOLVO;500 6X2T;2022;55,5T;464276;26/7/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AF472BV;TOLVA;AIELLO;310 SR;2022;52,5T;458758;1/7/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AF472BZ;BATEA;STOESSEL;SSBL;2022;52,5T;464277;26/7/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AF524SX;BATEA;STOESSEL;SSBL;2022;52,5T;637121;8/10/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AF524SZ;TOLVA;AIELLO;310 SR;2022;52,5T;470149;21/8/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AF579SD;BATEA;STOESSEL;SSBL;2022;52,5T;641585;8/11/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AF579SE;BATEA;STOESSEL;SSBL;2022;52,5T;644484;13/11/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AF579SF;BATEA;STOESSEL;SSBL;2022;52,5T;265845;8/4/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
AF579SG;BATEA;STOESSEL;SSBL;2022;52,5T;100684;17/3/2026;13348154;10/4/2026;SH;GCP (CARGAS PELIGROSAS)
